PersonalSpending,ProsocialSpending,GeneralHappiness,PersonalIncome
1500,0,most of the time,65001-80000
264,0,most of the time,less20000
320,15,yes,less20000
260,75,most of the time,50001-65000
350,0,most of the time,less20000
300,75,sometimes,35001-50000
305,100,yes,less20000
400,20,yes,20001-35000
320,100,yes,35001-50000
400,25,sometimes,less20000
400,50,sometimes,20001-35000
375,75,most of the time,35001-50000
300,150,most of the time,65001-80000
420,35,yes,35001-50000
225,240,most of the time,35001-50000
450,40,yes,less20000
500,0,most of the time,less20000
400,100,sometimes,20001-35000
500,0,sometimes,20001-35000
500,20,most of the time,less20000
500,20,rarely,20001-35000
525,30,most of the time,35001-50000
550,50,most of the time,less20000
600,0,sometimes,20001-35000
550,55,sometimes,20001-35000
550,60,most of the time,50001-65000
390,225,sometimes,65001-80000
520,100,rarely,less20000
600,30,yes,20001-35000
575,60,sometimes,80001andup
620,20,yes,20001-35000
550,100,most of the time,less20000
550,100,most of the time,35001-50000
630,30,yes,less20000
600,60,yes,65001-80000
520,155,most of the time,20001-35000
650,25,most of the time,35001-50000
680,5,rarely,less20000
700,0,rarely,less20000
650,50,yes,35001-50000
400,325,yes,50001-65000
650,75,yes,65001-80000
550,200,most of the time,20001-35000
500,250,yes,50001-65000
740,15,yes,20001-35000
700,60,most of the time,20001-35000
730,30,most of the time,20001-35000
650,110,most of the time,65001-80000
760,10,most of the time,less20000
725,50,sometimes,20001-35000
800,0,sometimes,less20000
800,0,yes,20001-35000
750,50,sometimes,20001-35000
800,0,yes,35001-50000
600,200,most of the time,50001-65000
770,50,yes,less20000
810,10,most of the time,20001-35000
825,0,sometimes,20001-35000
675,150,yes,65001-80000
800,30,most of the time,less20000
725,105,most of the time,50001-65000
820,20,most of the time,35001-50000
850,0,sometimes,20001-35000
850,15,sometimes,less20000
850,20,yes,less20000
800,70,sometimes,35001-50000
875,10,most of the time,80001andup
875,25,most of the time,less20000
800,100,yes,20001-35000
700,200,most of the time,65001-80000
800,100,yes,80001andup
610,290,most of the time,80001andup
800,115,most of the time,50001-65000
900,20,sometimes,20001-35000
850,70,sometimes,35001-50000
890,35,sometimes,50001-65000
900,35,yes,35001-50000
950,0,most of the time,less20000
600,350,most of the time,20001-35000
650,305,yes,80001andup
950,30,sometimes,20001-35000
910,70,most of the time,20001-35000
1000,0,most of the time,less20000
1000,0,most of the time,less20000
1000,0,yes,less20000
1000,0,most of the time,20001-35000
1000,0,sometimes,20001-35000
1000,0,yes,50001-65000
1000,0,sometimes,65001-80000
1025,0,most of the time,35001-50000
1000,30,sometimes,20001-35000
1000,35,rarely,80001andup
1050,0,most of the time,20001-35000
800,250,most of the time,20001-35000
1000,50,sometimes,35001-50000
900,150,most of the time,35001-50000
1000,50,most of the time,65001-80000
820,240,most of the time,less20000
1020,40,yes,50001-65000
1050,10,most of the time,50001-65000
920,150,rarely,less20000
1010,65,most of the time,35001-50000
1035,50,most of the time,20001-35000
1025,60,most of the time,80001andup
1000,100,yes,less20000
900,200,most of the time,20001-35000
1000,100,most of the time,20001-35000
1100,0,yes,20001-35000
1100,0,rarely,20001-35000
1000,100,rarely,35001-50000
1050,50,yes,35001-50000
900,200,yes,35001-50000
1050,60,sometimes,35001-50000
1000,110,yes,65001-80000
1115,0,sometimes,20001-35000
1045,70,most of the time,50001-65000
1000,120,most of the time,35001-50000
820,300,yes,80001andup
940,200,sometimes,20001-35000
1000,150,most of the time,20001-35000
1050,100,most of the time,20001-35000
