"id","verb1","verb2","verb4","verb6","perfo1","perfo2","perfo4","perfo6","info1","comp1","simu1","voca1","info6","comp6","simu6","voca6","momed","grad","constant"
1,24.42,26.98,39.61,55.64,19.84,22.97,43.9,44.19,31.287,25.627,22.932,22.215,69.883,44.424,68.045,51.162,9.5,0,1
2,12.44,14.38,21.92,37.81,5.9,13.44,18.29,40.38,13.801,14.787,7.581,15.373,41.871,44.862,33.897,37.741,5.5,0,1
3,32.43,33.51,34.3,50.18,27.64,45.02,46.99,77.72,34.97,34.675,28.052,26.841,60.424,50.26,35.844,55.477,14,1,1
4,22.69,28.39,42.16,44.72,33.16,29.68,45.97,61.66,24.795,31.391,8.208,20.197,52.865,42.669,45.802,35.987,14,1,1
5,28.23,37.81,41.06,70.95,27.64,44.42,65.48,64.22,25.263,30.263,15.977,35.417,67.368,86.654,72.368,60.417,11.5,0,1
6,16.06,20.12,38.02,39.94,8.45,15.78,26.99,39.08,15.402,23.399,11.453,20.56,46.437,52.956,22.537,47.716,14,1,1
7,8.5,16.49,28.71,40.83,4.85,17.24,30.75,41.03,15.38,-1.253,2.318,13.004,53.977,36.341,39.912,35.373,9.5,0,1
8,14.11,20.92,21.53,25.68,18.72,21.43,33.63,42.36,19.883,6.704,14.16,14.868,26.901,33.02,21.679,22.763,5.5,0,1
9,15.52,23.36,37.41,45.52,13.37,20.13,35.36,38.53,12.632,13.847,10.276,23.224,54.737,40.163,36.591,54.803,9.5,0,1
10,20.07,33.38,37.71,48.65,15.26,23.67,42.59,48.39,23.69,25.446,11.416,21.786,45.119,52.232,53.508,53.929,11.5,0,1
11,21.59,31,41.38,55,14.29,27.24,32.69,48.17,25.298,29.337,13.202,25.692,64.583,44.643,62.946,64.531,11.5,0,1
12,15.57,19.7,26.68,34.09,11.12,19.85,32.87,35.61,22.262,12.946,6.186,16.897,43.69,39.732,25.319,28.951,9.5,0,1
13,20.03,25.42,22.43,30.89,11.46,16.88,28.18,34.32,23.816,28.571,11.749,19.13,29.614,28.571,24.172,38.696,9.5,0,1
14,22.75,29.45,32.99,46.9,18.59,35.61,36.81,56.2,23.333,25,21.429,21.25,55.476,47.959,44.388,46.696,11.5,0,1
15,18.05,27.04,27.25,32.4,10.51,23.19,38.25,52.01,17.544,28.947,10.902,17.829,35.088,36.466,14.662,49.408,11.5,0,1
16,22.54,26.68,28.33,41.98,23.27,30.09,44.7,45.51,20.43,35.714,11.175,24.113,46.237,35.714,38.825,45.887,14,1,1
17,11.22,19.45,21.71,39.29,10.1,29.51,28.58,32.81,16.667,3.571,7.143,17.5,42.121,50.325,38.312,36.591,9.5,0,1
18,22.96,25.27,27.44,30.54,18.85,27.03,39.28,46.41,25.476,27.934,17.538,18.192,39.762,35.587,21.365,24.888,9.5,0,1
19,15.63,20.18,29.43,38.79,32.05,27.26,42.31,51.34,18.947,9.211,13.346,16.118,40,39.286,32.143,43.75,11.5,0,1
20,17.93,29.08,39.42,55.16,31.59,36.78,53.47,58.49,25.439,19.737,16.165,18.224,67.544,57.331,53.759,57.697,11.5,0,1
21,21.03,28.39,39.38,60.39,17.66,21.61,40.01,46.67,1.037,23.254,-4.524,8.361,72.148,56.587,52.619,56.694,11.5,0,1
22,21.5,20.8,30,54.27,10.15,20.35,42.17,59.61,24.737,32.769,15.539,17.566,66.842,51.566,53.133,57.039,5.5,0,1
23,20.3,28.14,27.38,30.68,17.46,17.69,33.61,43.31,12.924,24.937,17.732,24.868,37.485,28.697,25.251,32.763,11.5,0,1
24,15.33,18.88,21.96,31.64,8.9,20.44,33.85,40.28,18.129,18.797,15.852,14.254,35.673,30.075,34.649,35.307,9.5,0,1
25,15.64,14.48,16.67,27.29,12.25,19.7,27.71,39.14,15.952,17.347,14.158,13.438,37.381,32.653,17.985,22.813,9.5,0,1
26,25.82,35.21,45.42,66.52,35.25,36.78,56.25,68.58,27.427,22.306,22.055,34.342,73.041,74.937,59.649,69.868,11.5,0,1
